2019/09/26 14:25:59 INFO  : PCCC/06. Tong hop/thành viên ban PCCC.pdf: Copied (new)
2019/09/26 14:25:59 INFO  : PCCC/06. Tong hop/Drawing 2.pdf: Copied (new)
2019/09/26 14:26:00 INFO  : PCCC/06. Tong hop/vi_tcvn5738_2001 hệ thống báo cháy.doc: Copied (new)
2019/09/26 14:26:00 INFO  : PCCC/06. Tong hop/Đơn đề nghị kiểm định phương tiện PCCC (1).docx: Copied (new)
2019/09/26 14:26:00 INFO  : QC/0000006 - 6215212 L/0000006 - MS.xlsx: Copied (new)
2019/09/26 14:26:00 INFO  : PCCC/06. Tong hop/Đề nghị thực tập PA PCCC.pdf: Copied (new)
2019/09/26 14:26:00 INFO  : QC/0000006 - 6215212 L/0000006 - IIS.xlsx: Copied (new)
2019/09/26 14:26:00 INFO  : QC/0000006 - 6215212 L/Thumbs.db: Copied (new)
2019/09/26 14:26:00 INFO  : QC/0000007 - 6215212 R/0000007 - IIS.xlsx: Copied (new)
2019/09/26 14:26:00 INFO  : PCCC/06. Tong hop/THONG TU 66.docx: Copied (new)
2019/09/26 14:26:01 INFO  : QC/0000006 - 6215212 L/06.JPG: Copied (new)
2019/09/26 14:26:01 INFO  : PCCC/04. Tap huan - Training/Chuan bi phuong tien dung cu tap huan PCCC 2019.xlsx: Copied (new)
2019/09/26 14:26:01 INFO  : QC/0000007 - 6215212 R/0000007 - MS.xlsx: Copied (new)
2019/09/26 14:26:01 INFO  : 0000004 - 6215121/0000004 new mold/Paper length inspection result  (M215).xlsx: Copied (new)
2019/09/26 14:26:01 INFO  : PCCC/04. Tap huan - Training/PHƯƠNG ÁN TẬP HUẤN PHÒNG CHÁY CHỮA CHÁY.docx: Copied (new)
2019/09/26 14:26:01 INFO  : PCCC/04. Tap huan - Training/Kich ban dien tap chi tiet 2019 - Ver1.docx: Copied (new)
2019/09/26 14:26:01 INFO  : 0000004 - 6215121/0000004 new mold/0000004(2).xlsx: Copied (new)
2019/09/26 14:26:01 INFO  : 0000004 - 6215121/0000004 new mold/0000004.xlsx: Copied (new)
2019/09/26 14:26:01 INFO  : QC/0000007 - 6215212 R/07.JPG: Copied (new)
2019/09/26 14:26:02 INFO  : QC/0000007 - 6215212 R/Thumbs.db: Copied (new)
